No;Date;Time;Timer;Mass;Unit;No2;Scale No;Status;Note
1;2024-01-31;2024-01-31 9:39:41 AM;0;45.7558;g;1;1;0; 
2;2024-01-31;2024-01-31 9:39:41 AM;0;45.7538;g;2;1;0; 
3;2024-01-31;2024-01-31 9:39:42 AM;1;45.7714;g;3;1;0; 
4;2024-01-31;2024-01-31 9:39:42 AM;1;45.8534;g;4;1;0; 
5;2024-01-31;2024-01-31 9:39:43 AM;2;46.0339;g;5;1;0; 
6;2024-01-31;2024-01-31 9:39:43 AM;2;46.2939;g;6;1;0; 
7;2024-01-31;2024-01-31 9:39:44 AM;3;46.7013;g;7;1;0; 
8;2024-01-31;2024-01-31 9:39:44 AM;3;47.0371;g;8;1;0; 
9;2024-01-31;2024-01-31 9:39:45 AM;4;47.4173;g;9;1;0; 
10;2024-01-31;2024-01-31 9:39:45 AM;4;47.8751;g;10;1;0; 
11;2024-01-31;2024-01-31 9:39:46 AM;5;48.4177;g;11;1;0; 
12;2024-01-31;2024-01-31 9:39:46 AM;5;49.005;g;12;1;0; 
13;2024-01-31;2024-01-31 9:39:47 AM;6;49.5989;g;13;1;0; 
14;2024-01-31;2024-01-31 9:39:47 AM;6;50.1971;g;14;1;0; 
15;2024-01-31;2024-01-31 9:39:48 AM;7;50.9997;g;15;1;0; 
16;2024-01-31;2024-01-31 9:39:48 AM;7;51.6039;g;16;1;0; 
17;2024-01-31;2024-01-31 9:39:49 AM;8;52.2107;g;17;1;0; 
18;2024-01-31;2024-01-31 9:39:49 AM;8;52.8183;g;18;1;0; 
19;2024-01-31;2024-01-31 9:39:50 AM;9;53.4261;g;19;1;0; 
20;2024-01-31;2024-01-31 9:39:50 AM;9;54.0341;g;20;1;0; 
21;2024-01-31;2024-01-31 9:39:51 AM;10;54.641;g;21;1;0; 
22;2024-01-31;2024-01-31 9:39:51 AM;10;55.4506;g;22;1;0; 
23;2024-01-31;2024-01-31 9:39:52 AM;11;56.0567;g;23;1;0; 
24;2024-01-31;2024-01-31 9:39:52 AM;11;56.6626;g;24;1;0; 
25;2024-01-31;2024-01-31 9:39:53 AM;12;57.2687;g;25;1;0; 
26;2024-01-31;2024-01-31 9:39:53 AM;12;57.8723;g;26;1;0; 
27;2024-01-31;2024-01-31 9:39:54 AM;13;58.4709;g;27;1;0; 
28;2024-01-31;2024-01-31 9:39:54 AM;13;59.0669;g;28;1;0; 
29;2024-01-31;2024-01-31 9:39:55 AM;14;59.8578;g;29;1;0; 
30;2024-01-31;2024-01-31 9:39:55 AM;14;60.4538;g;30;1;0; 
31;2024-01-31;2024-01-31 9:39:56 AM;15;61.0536;g;31;1;0; 
32;2024-01-31;2024-01-31 9:39:56 AM;15;61.6589;g;32;1;0; 
33;2024-01-31;2024-01-31 9:39:57 AM;16;62.2682;g;33;1;0; 
34;2024-01-31;2024-01-31 9:39:57 AM;16;62.8793;g;34;1;0; 
35;2024-01-31;2024-01-31 9:39:58 AM;17;63.4916;g;35;1;0; 
36;2024-01-31;2024-01-31 9:39:58 AM;17;64.3044;g;36;1;0; 
37;2024-01-31;2024-01-31 9:39:59 AM;18;64.9121;g;37;1;0; 
38;2024-01-31;2024-01-31 9:39:59 AM;18;65.5201;g;38;1;0; 
39;2024-01-31;2024-01-31 9:40:00 AM;19;66.1281;g;39;1;0; 
40;2024-01-31;2024-01-31 9:40:00 AM;19;66.7351;g;40;1;0; 
41;2024-01-31;2024-01-31 9:40:01 AM;20;67.3424;g;41;1;0; 
42;2024-01-31;2024-01-31 9:40:01 AM;20;67.9499;g;42;1;0; 
43;2024-01-31;2024-01-31 9:40:02 AM;21;68.5582;g;43;1;0; 
44;2024-01-31;2024-01-31 9:40:02 AM;21;69.3697;g;44;1;0; 
45;2024-01-31;2024-01-31 9:40:03 AM;22;69.9774;g;45;1;0; 
46;2024-01-31;2024-01-31 9:40:03 AM;22;70.584;g;46;1;0; 
47;2024-01-31;2024-01-31 9:40:04 AM;23;71.1898;g;47;1;0; 
48;2024-01-31;2024-01-31 9:40:04 AM;23;71.7956;g;48;1;0; 
49;2024-01-31;2024-01-31 9:40:05 AM;24;72.4025;g;49;1;0; 
50;2024-01-31;2024-01-31 9:40:05 AM;24;73.0109;g;50;1;0; 
51;2024-01-31;2024-01-31 9:40:06 AM;25;73.8132;g;51;1;0; 
52;2024-01-31;2024-01-31 9:40:06 AM;25;74.4096;g;52;1;0; 
53;2024-01-31;2024-01-31 9:40:07 AM;26;75.0034;g;53;1;0; 
54;2024-01-31;2024-01-31 9:40:07 AM;26;75.5962;g;54;1;0; 
55;2024-01-31;2024-01-31 9:40:08 AM;27;76.197;g;55;1;0; 
